Name,m1,m1_err,m2,m2_err,P,P_err,Reference,Type
J1432-1021,1.898,0.03,0.79,0.03,730.9,0.5,2024OJAp....7E..58E,Gaia
J0639-3655,1.7,0.07,1.32,0.06,654.6,0.6,--,Gaia
J1048+6547,1.68,0.07,1,0.05,814.2,3.4,--,Gaia
J0824+5254,1.603,0.035,1.1,0.03,1027,4,--,Gaia
J0634+6256,1.48,0.09,1.18,0.06,1046,2.1,--,Gaia
J2244-2236,1.443,0.023,1.002,0.03,938.3,0.5,--,Gaia
J0230+5950,1.401,0.034,1.114,0.03,1029,5,--,Gaia
J2145+2837,1.4,0.04,0.95,0.05,889.8,1.2,--,Gaia
J2102+3703,1.44,0.04,1.03,0.03,480.9,0.6,--,Gaia
J0217-7541,1.396,0.033,0.996,0.033,636.1,0.7,--,Gaia
J1150-2203,1.39,0.04,1.18,0.06,631.8,0.23,--,Gaia
J1739+4502,1.38,0.04,0.778,0.03,657.4,0.6,--,Gaia
J1733+5808,1.362,0.03,1.16,0.05,570.94,0.31,--,Gaia
J0036-0932,1.362,0.034,0.94,0.04,719.8,0.9,--,Gaia
J0003-5604,1.34,0.04,0.802,0.03,561.83,0.29,--,Gaia
J0553-1349,1.33,0.05,0.98,0.06,189.1,0.05,--,Gaia
J1553-6846,1.323,0.032,1.04,0.05,310.17,0.11,--,Gaia
J2057-4742,1.31,0.04,1.048,0.031,230.15,0.07,--,Gaia
J0152-2049,1.291,0.024,0.782,0.03,536.14,0.18,--,Gaia
J0742-4749,1.28,0.04,0.9,0.05,497.6,0.4,--,Gaia
J1449+6919,1.261,0.032,0.91,0.05,632.76,0.22,--,Gaia
J1913+1102,1.62,0.03,1.27,0.03,0.206,,2020Natur.583..211F,DNS
J0453+1559,1.559,0.005,1.174,0.004,4.072,,2015ApJ...812..143M,DNS
J1757-1854,1.3406,0.0005,1.3922,0.0005,0.184,,2023mgm..conf.3774C,DNS
J0737-3039A,1.3381,0.0007,1.2489,0.0007,0.102,,2006Sci...314...97K,DNS
J1756-2251,1.341,0.007,1.23,0.007,0.32,,2014MNRAS.443.2183F,DNS
B1913+16,1.4398,0.0002,1.3886,0.0002,0.323,,2010ApJ...722.1030W,DNS
B1534+12,1.333,0.0002,1.3455,0.0002,0.421,,2014ApJ...787...82F,DNS
B2127+11C,1.358,0.01,1.354,0.01,0.335,,2006ApJ...644L.113J,DNS
J1518+4904,1.41,0.08,1.31,0.08,8.634,,2008AA...490..753J,DNS
J0509+3801,1.34,0.08,1.46,0.08,0.38,,2018ApJ...859...93L,DNS
J1807-2500B,1.3655,0.0021,1.2064,0.0021,9.957,,2012ApJ...745..109L,DNS
J1906+0746,1.322,0.011,1.291,0.011,0.166,,2015ApJ...798..118V,DNS
J1829+2456,1.306,0.004,1.299,0.004,1.176,,2021MNRAS.500.4620H,DNS
